linkTarget,impressions,hits,CTR
10th_century,12983,137,0.0105522606485404
11th_century,8133,124,0.015246526496987581
12th_century,9394,144,0.015328933361720247
13th_century,12006,162,0.013493253373313344
14th_century,7883,136,0.017252315108461244
15th_century,17790,227,0.012759977515458123
15th_marine_expeditionary_unit,26,1,0.038461538461538464
16_cygni,51,1,0.0196078431372549
16_cygni_bb,8,0,0.0
16th_century,17729,263,0.014834452027751141
1755_lisbon_earthquake,506,13,0.025691699604743084
17th_century,15839,205,0.012942736283856305
1896_summer_olympics,679,64,0.09425625920471281
18th_century,24197,306,0.012646195809397858
1928_okeechobee_hurricane,822,11,0.01338199513381995
1973_oil_crisis,1896,23,0.012130801687763712
1980_eruption_of_mount_st._helens,73,8,0.1095890410958904
1997_pacific_hurricane_season,1,0,0.0
19th_century,39335,710,0.018050082623617642
1_ceres,3612,130,0.03599114064230343
1st_century,6102,60,0.00983284169124877
1st_century_bc,6715,103,0.01533879374534624
2-6-0,33,0,0.0
2-8-0,71,0,0.0
2003_atlantic_hurricane_season,204,30,0.14705882352941177
2004_atlantic_hurricane_season,464,46,0.09913793103448276
2004_indian_ocean_earthquake,2755,56,0.020326678765880218
2005_atlantic_hurricane_season,985,133,0.1350253807106599
2005_kashmir_earthquake,1322,3,0.0022692889561270802
2005_sumatra_earthquake,86,14,0.16279069767441862
20th_century,36062,1012,0.028062780766457768
21st_century,8352,170,0.020354406130268198
2nd_century,5867,52,0.008863132776546788
3_juno,2613,34,0.013011863758132415
3rd_century,6878,58,0.008432683919744112
4-2-0,42,1,0.023809523809523808
4-4-0,105,6,0.05714285714285714
4-6-0,90,0,0.0
47_ursae_majoris,49,0,0.0
47_ursae_majoris_b,12,0,0.0
47_ursae_majoris_c,21,0,0.0
4_vesta,3669,32,0.00872172254020169
4th_century,9156,69,0.007536041939711665
55_cancri,778,23,0.02956298200514139
55_cancri_b,72,6,0.08333333333333333
55_cancri_c,45,4,0.08888888888888889
55_cancri_d,59,5,0.0847457627118644
55_cancri_e,52,6,0.11538461538461539
5th_century,11135,125,0.01122586439155815
6-2-0,27,0,0.0
6th_century,6831,108,0.015810276679841896
7th_century,9768,84,0.0085995085995086
8th_century,7583,87,0.011473031781616775
90377_sedna,1304,10,0.007668711656441718
9th_century,11138,96,0.008619141677141317
a_cappella,1589,28,0.01762114537444934
a_christmas_carol,200,23,0.115
a_tale_of_a_tub,47,1,0.02127659574468085
aachen,1129,7,0.006200177147918512
aardvark,89,4,0.0449438202247191
aarhus,468,7,0.014957264957264958
abacus,5756,63,0.010945100764419735
abadan,29,0,0.0
abbasid,2487,11,0.004422999597909127
abbey,651,17,0.026113671274961597
abbey_theatre,217,16,0.07373271889400922
abbot,1209,17,0.014061207609594707
abel_tasman,1553,11,0.0070830650354153256
aberdeen,3513,20,0.00569313976658127
aberration_of_light,137,9,0.06569343065693431
aberystwyth,292,9,0.030821917808219176
abhidhamma_pitaka,255,9,0.03529411764705882
